soul,curie,davinci,dijkstra,feynman,hamilton,hopper,jared_pleva,jobs,jokic,knuth,lovelace,shannon,socrates,sun-tzu,turing
curie,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0465,0.0000,0.0000,0.0222
davinci,0.0000,1.0000,0.0217,0.0222,0.0000,0.0000,0.0263,0.0217,0.0465,0.0233,0.0488,0.0250,0.0263,0.0000,0.0244
dijkstra,0.0000,0.0217,1.0000,0.0392,0.0000,0.0000,0.0222,0.0000,0.0196,0.0408,0.0204,0.0213,0.0222,0.0000,0.0652
feynman,0.0000,0.0222,0.0392,1.0000,0.0000,0.0192,0.0227,0.0192,0.0200,0.0204,0.0208,0.0217,0.0227,0.0000,0.0213
hamilton,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0185,0.0000,0.0000,0.0200,0.0000,0.0000,0.0192,0.0000
hopper,0.0000,0.0000,0.0000,0.0192,0.0000,1.0000,0.0000,0.0000,0.0000,0.0408,0.0000,0.0000,0.0222,0.0000,0.0000
jared_pleva,0.0000,0.0263,0.0222,0.0227,0.0000,0.0000,1.0000,0.0000,0.0233,0.0238,0.0769,0.0811,0.0556,0.0000,0.0789
jobs,0.0000,0.0217,0.0000,0.0192,0.0185,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
jokic,0.0000,0.0465,0.0196,0.0200,0.0000,0.0000,0.0233,0.0000,1.0000,0.0208,0.0435,0.0222,0.0233,0.0417,0.0217
knuth,0.0000,0.0233,0.0408,0.0204,0.0000,0.0408,0.0238,0.0000,0.0208,1.0000,0.0444,0.0227,0.0750,0.0208,0.1220
lovelace,0.0000,0.0488,0.0204,0.0208,0.0200,0.0000,0.0769,0.0000,0.0435,0.0444,1.0000,0.0233,0.0244,0.0435,0.0465
shannon,0.0465,0.0250,0.0213,0.0217,0.0000,0.0000,0.0811,0.0000,0.0222,0.0227,0.0233,1.0000,0.0256,0.0000,0.0750
socrates,0.0000,0.0263,0.0222,0.0227,0.0000,0.0222,0.0556,0.0000,0.0233,0.0750,0.0244,0.0256,1.0000,0.0476,0.0513
sun-tzu,0.0000,0.0000,0.0000,0.0000,0.0192,0.0000,0.0000,0.0000,0.0417,0.0208,0.0435,0.0000,0.0476,1.0000,0.0217
turing,0.0222,0.0244,0.0652,0.0213,0.0000,0.0000,0.0789,0.0000,0.0217,0.1220,0.0465,0.0750,0.0513,0.0217,1.0000
