soul,curie,davinci,dijkstra,feynman,hamilton,hopper,jared_pleva,jobs,jokic,knuth,lovelace,shannon,socrates,sun-tzu,turing
curie,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0891,0.0000,0.0000,0.0435
davinci,0.0000,1.0000,0.0430,0.0439,0.0000,0.0000,0.0513,0.0430,0.0894,0.0456,0.0933,0.0488,0.0513,0.0000,0.0477
dijkstra,0.0000,0.0430,1.0000,0.0755,0.0000,0.0000,0.0442,0.0000,0.0385,0.0786,0.0401,0.0420,0.0442,0.0000,0.1231
feynman,0.0000,0.0439,0.0755,1.0000,0.0000,0.0377,0.0450,0.0377,0.0392,0.0400,0.0409,0.0428,0.0450,0.0000,0.0418
hamilton,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0364,0.0000,0.0000,0.0394,0.0000,0.0000,0.0378,0.0000
hopper,0.0000,0.0000,0.0000,0.0377,0.0000,1.0000,0.0000,0.0000,0.0000,0.0786,0.0000,0.0000,0.0442,0.0000,0.0000
jared_pleva,0.0000,0.0513,0.0442,0.0450,0.0000,0.0000,1.0000,0.0000,0.0459,0.0468,0.1435,0.1502,0.1053,0.0000,0.1467
jobs,0.0000,0.0430,0.0000,0.0377,0.0364,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
jokic,0.0000,0.0894,0.0385,0.0392,0.0000,0.0000,0.0459,0.0000,1.0000,0.0408,0.0834,0.0436,0.0459,0.0800,0.0426
knuth,0.0000,0.0456,0.0786,0.0400,0.0000,0.0786,0.0468,0.0000,0.0408,1.0000,0.0851,0.0445,0.1405,0.0408,0.2176
lovelace,0.0000,0.0933,0.0401,0.0409,0.0394,0.0000,0.1435,0.0000,0.0834,0.0851,1.0000,0.0455,0.0478,0.0834,0.0889
shannon,0.0891,0.0488,0.0420,0.0428,0.0000,0.0000,0.1502,0.0000,0.0436,0.0445,0.0455,1.0000,0.0501,0.0000,0.1396
socrates,0.0000,0.0513,0.0442,0.0450,0.0000,0.0442,0.1053,0.0000,0.0459,0.1405,0.0478,0.0501,1.0000,0.0918,0.0978
sun-tzu,0.0000,0.0000,0.0000,0.0000,0.0378,0.0000,0.0000,0.0000,0.0800,0.0408,0.0834,0.0000,0.0918,1.0000,0.0426
turing,0.0435,0.0477,0.1231,0.0418,0.0000,0.0000,0.1467,0.0000,0.0426,0.2176,0.0889,0.1396,0.0978,0.0426,1.0000
